Data,Peso
2024-12-06,116.0
2024-12-13,115.2
2024-12-20,114.3
2024-12-27,114.7
2025-01-03,113.9
2025-01-10,113.4
2025-01-17,112.2
2025-01-24,111.7
2025-01-31,111.72
2025-02-07,110.6
2025-02-14,110.37
2025-02-21,109.75
2025-12-05,95.0
